Unnamed: 0,Date,Close,High,Low,Open,Volume
883,2023-07-07,639.5,646.75,639.5,642.75,57
882,2023-07-06,647.0,654.75,640.75,654.5,194
881,2023-07-05,662.0,662.0,635.0,640.0,288
880,2023-07-03,628.5,642.25,628.25,630.0,694
879,2023-06-30,636.25,663.75,634.25,654.0,1368
878,2023-06-29,653.0,663.75,650.75,655.5,13944
877,2023-06-28,655.75,692.5,653.25,684.75,19744
876,2023-06-27,685.0,725.75,681.5,724.25,21844
875,2023-06-26,724.25,756.75,719.0,734.25,37363
874,2023-06-23,733.25,737.75,718.75,737.0,52472
873,2023-06-22,739.0,747.0,725.5,730.25,49752
872,2023-06-21,734.5,735.5,699.25,700.5,59228
871,2023-06-20,695.75,700.0,676.25,687.0,76040
870,2023-06-16,688.0,697.0,656.0,659.75,99940
869,2023-06-15,661.5,665.25,628.25,629.0,72093
868,2023-06-14,630.25,639.0,625.0,638.0,70761
867,2023-06-13,636.25,649.25,626.75,634.5,106163
866,2023-06-12,633.75,638.75,622.25,629.75,91968
865,2023-06-09,630.25,632.25,618.5,624.5,113037
864,2023-06-08,626.25,629.0,611.25,616.0,98911
863,2023-06-07,616.75,635.5,613.25,626.5,89270
862,2023-06-06,627.75,648.0,621.25,624.25,113883
861,2023-06-05,624.0,631.5,615.5,621.5,69485
860,2023-06-02,619.0,622.5,602.25,610.25,69362
859,2023-06-01,610.75,617.5,593.0,594.25,80028
858,2023-05-31,594.25,595.0,573.25,591.5,73773
857,2023-05-30,591.0,616.75,588.75,616.75,74481
856,2023-05-26,616.0,618.5,602.5,606.0,48350
855,2023-05-25,604.25,616.5,599.0,607.0,53306
854,2023-05-24,606.25,624.5,602.25,621.0,61465
853,2023-05-23,622.25,624.75,594.25,607.5,57431
852,2023-05-22,606.25,613.75,596.25,607.75,60942
851,2023-05-19,605.0,620.75,602.0,611.0,62743
850,2023-05-18,611.75,626.5,605.5,626.25,59509
849,2023-05-17,625.5,654.25,616.0,646.75,98456
848,2023-05-16,647.5,664.25,640.0,661.75,62562
847,2023-05-15,660.75,663.75,632.5,635.0,67502
846,2023-05-12,624.5,624.5,624.5,624.5,74154
845,2023-05-11,614.25,617.5,614.25,617.5,22
844,2023-05-10,628.25,628.25,628.25,628.25,42
843,2023-05-09,630.5,630.5,628.0,628.0,8
842,2023-05-08,641.0,647.5,641.0,647.5,24
841,2023-05-05,647.0,647.0,647.0,647.0,78
840,2023-05-04,631.5,631.5,624.0,624.0,187
839,2023-05-03,626.25,626.25,596.0,596.0,352
838,2023-05-02,595.5,612.75,595.5,612.0,406
837,2023-05-01,603.75,620.0,599.5,620.0,1106
836,2023-04-28,619.75,623.0,610.25,611.75,1022
835,2023-04-27,614.75,630.75,610.5,628.75,18402
834,2023-04-26,627.25,643.0,626.5,639.75,18041
833,2023-04-25,638.75,646.75,628.25,643.5,26652
832,2023-04-24,643.5,669.5,643.25,669.25,25969
831,2023-04-21,661.75,673.25,658.0,667.75,34367
830,2023-04-20,667.75,684.75,666.5,683.0,36941
829,2023-04-19,681.75,699.0,680.75,699.0,31370
828,2023-04-18,698.0,707.0,689.25,693.5,44586
827,2023-04-17,696.5,697.0,674.5,686.25,71093
826,2023-04-14,682.5,685.25,661.25,668.75,81450
825,2023-04-13,667.0,680.75,664.5,680.75,91658
824,2023-04-12,679.5,683.75,673.0,673.0,111542
823,2023-04-11,674.0,686.0,666.25,680.25,114948
822,2023-04-10,678.5,687.5,668.25,684.5,67549
821,2023-04-06,675.5,685.0,671.25,682.25,0
820,2023-04-05,682.0,693.25,675.0,693.0,56289
819,2023-04-04,691.5,701.5,688.0,697.0,44904
818,2023-04-03,693.5,710.0,691.5,697.0,51071
817,2023-03-31,692.25,701.25,681.0,692.5,58011
816,2023-03-30,692.25,710.0,690.25,705.25,45510
815,2023-03-29,704.75,724.0,696.5,698.25,77189
814,2023-03-28,699.75,704.75,691.5,698.5,51076
